cluster_id,size,share,median_probability,mean_outlier_score,intra_cluster_cosine,representative_customer_message_ids
0,35,0.00037565336853742046,1.0,0.039803014793665596,0.9999998807907104,1215407;1176285;1306406;1117010;1339600;899524;1505436;842133
1,79,0.0008479033175558919,0.6135571226606046,0.4473295810465998,0.9907787442207336,2931864;2396353;572418;1411659;522531;164810;69840;158609
2,49,0.0005259147159523886,1.0,0.2560202467064203,0.9953375458717346,1302329;734680;1345571;1385278;1165671;1248266;342968;438004
3,33,0.00035418746176385356,1.0,0.07774000588374527,0.999991238117218,408793;388027;382880;382809;434524;472435;667735;675251
4,82,0.0008801021777162422,0.7519049456389278,0.39273355528542114,0.9885019659996033,2434981;2488403;2283511;2492224;2474879;1043140;1136228;2538167
5,67,0.0007191078769144905,0.9204723730960619,0.18720586621757018,0.985444188117981,2488509;1286974;697970;1397887;1479132;1508637;1490293;1609617
6,34,0.000364920415150637,1.0,0.06944285475880502,0.9866513609886169,535067;499969;536522;58111;1006560;529034;1936461;1015585
7,12267,0.13166113919567246,1.0,0.5414129514035914,0.48714664578437805,721259;2141312;343680;1661798;255032;2141314;93641;765701
8,126,0.0013523521267347137,0.6659431809949209,0.4006889207827879,0.4440622627735138,985140;1563745;132574;535151;135096;2553854;1443283;2376146
9,35,0.00037565336853742046,1.0,0.06423453080564388,0.6292648911476135,429009;1209111;2511768;2142166;1089227;796394;2221877;1015275
10,82,0.0008801021777162422,0.9914955393974108,0.21031720117388747,0.6153379082679749,2321006;377223;1076279;1241107;304372;865622;1724453;450709
11,59,0.000633244249820223,1.0,0.2993288716941386,0.6063617467880249,2724967;1452908;754988;739669;2657673;2878657;2857257;1113558
12,157,0.0016850736817250003,0.45603368525360677,0.49878882639997185,0.41200485825538635,73571;468747;2437725;1320513;880018;1192271;2570405;841863
13,59,0.000633244249820223,1.0,0.1945119588884359,0.3843930661678314,999162;2603024;1893531;1631104;292268;245837;1565064;1227965
14,481,0.0051625505790428355,0.7420677030159072,0.38874732425313985,0.5138887166976929,451874;319150;1616797;2410495;141970;390809;581877;2787696
15,76,0.0008157044573955416,0.9030517475331191,0.26828427052236564,0.4802229702472687,1375309;2671573;254061;2641344;1300654;1246394;789311;1246397
16,43,0.00046151699563168797,1.0,0.046329313522524763,0.4878199100494385,1101752;78777;994292;1706215;1528648;727840;179444;78791
17,36,0.0003863863219242039,1.0,0.006501108507765059,0.9398287534713745,1293000;2849065;1641390;816953;1223096;758379;392621;2971953
18,84,0.0009015680844898091,0.7603287942983323,0.3060050926039203,0.6183212995529175,1500722;1331914;2477373;299002;1346592;2472381;1290391;448699
19,63,0.0006761760633673568,0.9129670940229758,0.180200933707212,0.4633132219314575,2917239;2917217;1603790;2419247;1206902;2935875;783396;2741793
20,32,0.00034345450837707013,1.0,0.005942496213283863,0.5319215059280396,503492;2959927;2959941;652190;609376;2431174;1327725;2606682
21,56,0.0006010453896598728,1.0,0.19484497151778513,0.4634331166744232,1004535;1540966;2464834;219171;1427908;2551959;2551953;2909147
22,122,0.0013094203131875798,0.748537906603936,0.3309410736577153,0.622214674949646,2238103;1764566;1704096;2622579;2902581;2902642;714176;2356701
23,92,0.0009874317115840766,0.7966002543928867,0.21105892279875246,0.5147956013679504,133736;1201947;949627;2889187;2320303;941414;529154;2616359
24,44,0.0004722499490184714,1.0,0.08619841637881806,0.5477989315986633,912554;2552247;397432;814372;2588685;2841917;73426;2621062
25,83,0.0008908351311030257,0.7261716772657487,0.3229102984003019,0.7378190755844116,1441391;736518;479326;109988;685651;2111012;1402861;2770732
26,273,0.0029300962745918793,0.38216804992157694,0.5144245686676958,0.5289230346679688,69913;521656;126109;995457;1610876;65633;523443;1735292
27,38,0.0004078522286977708,1.0,0.021583130276766314,0.44900035858154297,1014813;2511447;837480;2019827;226416;1223247;2870729;893329
28,37,0.0003971192753109873,1.0,0.07442261693861153,0.5404330492019653,281693;1522569;415111;2938368;2597096;2627615;734141;1567499
29,552,0.00592459026950446,0.49668060837005656,0.48772774866158686,0.43853050470352173,29572;2555155;1875535;246454;197987;180597;918241;419880
30,205,0.0022002554442906055,0.5031088623480018,0.46406755149466256,0.5242921710014343,840901;124784;1312530;179374;387566;2933663;180834;973997
31,49,0.0005259147159523886,1.0,0.08608769600709895,0.4720882475376129,2151112;383337;1064829;293342;2113009;2115649;1137937;989141
32,54,0.0005795794828863058,1.0,0.11679472207643947,0.3995758295059204,577126;294315;859620;2536345;2386331;2612289;726772;318168
33,126,0.0013523521267347137,0.6686949291602928,0.3782345408865518,0.41954517364501953,1127175;2891937;65690;1223076;2297407;297974;2906695;77498
34,43,0.00046151699563168797,1.0,0.14903752209773696,0.6759539246559143,2890594;2550251;86150;183062;531586;563920;75921;1436639
35,69,0.0007405737836880575,0.9317689865073762,0.23279012294669799,0.5379741191864014,421254;28462;22156;2676820;224269;674237;1881701;2721788
36,59,0.000633244249820223,1.0,0.14925757235658035,0.5472219586372375,64202;665610;1689481;1741700;2286011;1983531;765448;36521
37,69,0.0007405737836880575,1.0,0.04001618203489848,0.3940514624118805,530805;1384268;1345918;231539;1863717;2721705;815584;2828730
38,50,0.0005366476693391721,1.0,0.1520290648678666,0.5258498787879944,673210;2297873;13865;1209898;379575;2528273;13870;689481
39,70,0.0007513067370748409,0.9110350022430584,0.18726108144836826,0.5489742755889893,665607;1773280;1731168;260353;2089283;665612;815477;1746102
40,287,0.0030803576220068477,0.6225076319359404,0.33781647655372316,0.4209654629230499,2338163;1331206;131705;2350901;181223;946568;2159677;376813
41,79,0.0008479033175558919,0.8357080332715713,0.2011182000478012,0.5375311374664307,313655;21474;2669972;2318582;652056;2312500;1553268;183518
42,648,0.00695495379463567,0.3836294576654513,0.5440414231577769,0.4558332562446594,2396394;1289687;534956;350640;1772664;1176218;637195;1219952
43,61,0.0006547101565937899,0.9844799673325022,0.12269841102735998,0.47733408212661743,105132;78701;24491;498393;1499731;2628831;736511;1140865
44,80,0.0008586362709426753,0.6800608150618097,0.23539611141834982,0.3694280683994293,2216655;136255;1499885;318884;54418;95342;1262350;1761041
45,31,0.00033272155499028665,1.0,0.0002268815709902638,0.9628615975379944,2971950;1385714;510382;262567;2115556;1373688;444326;2292123
46,50,0.0005366476693391721,1.0,0.08758156141070415,0.5614707469940186,668472;1137726;182604;180121;898727;879183;1665827;180346
47,63,0.0006761760633673568,0.9839621991284645,0.03330676151669447,0.5411239862442017,1676625;422007;1545460;2281453;130848;1043693;1786140;1043654
48,33,0.00035418746176385356,1.0,0.0023656022642736126,0.6163737773895264,2594324;293780;2590348;2795297;1537520;2724466;657882;1069884
49,32,0.00034345450837707013,1.0,0.00025412452002330073,0.47542843222618103,643812;1729707;1357637;707335;1014783;1487716;313847;2379754
50,378,0.004057056380204141,0.517300677665709,0.45904964669596054,0.5160356760025024,2349516;1585032;63935;758938;182863;227880;1137391;140909
51,72,0.0007727726438484078,0.8490151845495504,0.24998249657378283,0.5829282402992249,301037;126792;65791;1143385;1034711;711114;307192;2568069
52,47,0.0005044488091788217,1.0,0.11219984204864501,0.7285564541816711,2781844;294774;318644;61009;1594614;2126702;244167;2698979
53,36,0.0003863863219242039,1.0,0.004868589793288989,0.5285994410514832,180863;645;2907802;2113573;1715677;984198;374537;1573518
54,48,0.0005151817625656051,1.0,0.18706700896525805,0.6352899074554443,2781887;197637;1007017;914801;956252;25843;1762297;2509237
55,137,0.0014704146139893313,0.6324734447376785,0.33971387483409493,0.5888700485229492,126794;1279202;1427889;676939;629610;1774580;439685;1272927
56,32,0.00034345450837707013,1.0,0.0019245021407252889,0.6340910196304321,210491;644026;1744048;81048;2652385;2290046;2884928;737151
57,78,0.0008371703641691084,0.9116567446456751,0.1585471514361129,0.6141497492790222,929178;965075;424073;834806;1212691;1973381;1608658;613992
58,325,0.0034882098507046182,1.0,0.23495794878220394,0.45037198066711426,21468;1125348;2291137;236618;2670728;1128078;604993;969111
59,1097,0.011774049865301435,1.0,0.394955291780763,0.5007637143135071,595700;2290532;420257;440256;570096;598031;1234062;450685
60,126,0.0013523521267347137,0.6980773474680294,0.2410863981955696,0.523763120174408,1264483;353599;25931;561637;1729621;490417;1727533;2761263
61,35,0.00037565336853742046,1.0,0.011060934973464704,0.5189034342765808,277253;946617;619112;984193;991749;832737;421249;979564
62,39,0.0004185851820845542,1.0,0.009664501154440784,0.6089453101158142,1772321;2308109;493491;1443123;1398055;2756027;1459765;1776901
63,122,0.0013094203131875798,0.6514144702726727,0.30135073424563763,0.43953225016593933,1202812;1072168;284032;388431;371422;2757409;1492770;1137408
64,139,0.0014918805207628984,0.6936536062803632,0.2820356043151676,0.5295860171318054,51576;231861;223871;517553;1592443;1053455;900371;1645637
65,62,0.0006654431099805733,1.0,0.029519851633496522,0.6451368927955627,1220819;1445336;492190;246354;644736;1160653;1499747;2119350
66,73,0.0007835055972351912,0.8211937369784306,0.13027627456089402,0.4356127381324768,836882;313241;1473290;607291;313255;932303;1135079;1574528
67,110,0.0011806248725461784,0.7185341197869026,0.20978328209841743,0.38975319266319275,373952;480364;941344;1188523;2298465;480367;1424685;682542
68,140,0.0015026134741496818,0.4558452427929704,0.41624532032772193,0.44723159074783325,1588767;1519854;656094;662671;697232;531565;2752080;128133
69,137,0.0014704146139893313,0.6057913169439808,0.34549965715322,0.44085779786109924,1009194;551984;1582918;238005;2226387;1426697;551987;1892089
70,394,0.004228783634392676,0.5264061613320814,0.4244182346780631,0.5213935971260071,43689;2513681;1066692;48890;2033208;123383;1424173;528217
71,171,0.0018353350291399684,0.7644540887240541,0.2713115556305542,0.6413975358009338,429070;787618;1557680;2011928;993210;2528796;313453;944148
72,80,0.0008586362709426753,0.9828694788648409,0.22184866590314112,0.6558616757392883,1292018;637035;2690672;977906;473257;1137859;2668957;2847309
73,44,0.0004722499490184714,1.0,0.010007517017715978,0.5116884112358093,1936551;1223000;69910;319414;1141903;2154068;206089;30513
74,47,0.0005044488091788217,1.0,0.015532448812721538,0.6004184484481812,1325666;558490;1305192;739100;1730795;1536937;1173862;409331
75,132,0.0014167498470554142,0.6950628361303386,0.234928039874664,0.5587922930717468,334026;440373;1110243;69838;844069;1232085;69900;2289939
76,33,0.00035418746176385356,1.0,0.0005043231236740751,0.5866002440452576,580677;1026037;2767591;468892;1355377;281637;1100572;1398440
77,49,0.0005259147159523886,1.0,0.13345951948943272,0.5381401181221008,286822;270916;21904;1593386;21909;43264;231468;1577274
78,122,0.0013094203131875798,0.5426638637029018,0.3731871732457535,0.5089990496635437,2171058;347912;2852136;2918159;2596389;2756040;138953;1403249
79,31,0.00033272155499028665,1.0,2.7031598137561903e-05,0.5073785185813904,745078;2537495;22578;1860352;2317899;787167;787160;440262
80,36,0.0003863863219242039,1.0,0.029496706013533096,0.5856042504310608,583501;583475;1698698;454588;2151934;365225;447232;297406
81,34,0.000364920415150637,1.0,0.021042426961635895,0.5123636722564697,836507;2269084;812121;840890;816934;678323;238108;2387900
